Apyg. Nr.;Apygardos pavadinimas;Apyl. Nr.;Apylinkės pavadinimas;Apylinkės Adresas;Kiekis
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;69
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;209
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;179
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;1096
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;495
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;348
1;Naujamiesčio;12;S. Konarskio;Adresas: S. Konarskio g. 27, Vilnius;158
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;46
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;54
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;141
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;69
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;69
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;33
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;74
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;328
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;101
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;79
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;12
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;43
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;57
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;71
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;6
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;155
1;Naujamiesčio;10;Taurakalnio;Adresas: K. Kalinausko g. 21, Vilnius;172
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;309
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;262
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;67
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;5
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;41
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;94
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;41
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;46
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;160
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;215
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;86
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;799
1;Naujamiesčio;15;Vytenio;Adresas: T. Ševčenkos g. 31, Vilnius;167
1;Naujamiesčio;16;Žemaitės;Adresas: Statybininkų g. 5, Vilnius;10
1;Naujamiesčio;16;Žemaitės;Adresas: Statybininkų g. 5, Vilnius;1189
1;Naujamiesčio;16;Žemaitės;Adresas: Statybininkų g. 5, Vilnius;38
1;Naujamiesčio;16;Žemaitės;Adresas: Statybininkų g. 5, Vilnius;633
1;Naujamiesčio;16;Žemaitės;Adresas: Statybininkų g. 5, Vilnius;409
1;Naujamiesčio;16;Žemaitės;Adresas: Statybininkų g. 5, Vilnius;531
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;424
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;201
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;652
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;1
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;445
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;187
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;168
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;13
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;588
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;222
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;57
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;174
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;22
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;57
2;Senamiesčio;54;A. Juozapavičiaus;Adresas: A. Juozapavičiaus g. 12, Vilnius;6
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;69
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;80
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;56
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;20
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;12
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;12
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;1
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;303
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;104
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;11
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;23
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;75
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;29
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;45
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;5
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;204
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;107
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;166
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;33
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;96
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;92
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;44
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;256
2;Senamiesčio;65;A. Vienuolio;Adresas: Aušros Vartų g. 23, Vilnius;65
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;5
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;11
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;26
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;6
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;1
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;260
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;446
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;28
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;5
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;55
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;96
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;49
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;64
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;53
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;48
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;339
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;114
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;31
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;56
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;206
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;55
2;Senamiesčio;7;Birutės;Adresas: Blindžių g. 3, Vilnius;29
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;72
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;96
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;24
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;76
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;17
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;7
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;29
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;15
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;55
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;19
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;206
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;25
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;12
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;32
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;95
2;Senamiesčio;51;Dailės;Adresas: Malūnų g. 5, Vilnius;286
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;4
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;169
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;3
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;214
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;201
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;510
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;18
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;122
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;213
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;0
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;102
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;238
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;176
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;69
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;364
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;22
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;2
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;100
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;75
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;24
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;96
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;58
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;2
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;1
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;1
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;60
2;Senamiesčio;59;Konstitucijos;Adresas: Konstitucijos pr. 3, Vilnius;125
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;29
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;90
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;108
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;133
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;364
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;16
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;1290
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;94
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;48
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;170
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;8
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;147
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;186
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;8
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;17
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;20
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;26
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;88
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;277
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;37
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;82
2;Senamiesčio;56;Licėjaus;Adresas: Širvintų g. 82, Vilnius;16
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;31
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;30
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;140
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;72
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;62
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;3
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;3
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;76
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;35
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;159
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;5
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;37
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;88
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;54
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;293
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;14
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;43
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;19
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;453
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;15
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;24
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;43
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;285
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;4
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;519
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;78
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;1
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;14
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;41
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;109
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;440
2;Senamiesčio;66;M. Daukšos;Adresas: M. Daukšos g. 7, Vilnius;103
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;54
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;104
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;36
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;21
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;34
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;7
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;3
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;1
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;19
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;8
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;117
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;144
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;149
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;43
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;16
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;47
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;131
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;32
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;1
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;142
2;Senamiesčio;62;Naugarduko;Adresas: Naugarduko g. 7, Vilnius;296
